timestamp,alpha_norm,beta_norm,CC,RC,SC,state
2026-01-14T17:06:47.163838,0.452,0.7656,61,48,84,不安定
2026-01-14T17:06:47.330381,0.4961,0.8267,62,48,83,不安定
2026-01-14T17:06:47.477036,0.5241,0.8633,62,48,82,不安定
2026-01-14T17:06:47.616603,0.5714,0.885,60,49,78,不安定
2026-01-14T17:06:47.749298,0.6101,0.8833,58,50,73,不安定
2026-01-14T17:06:47.880302,0.62,0.8698,56,51,71,不安定
2026-01-14T17:06:48.009852,0.5867,0.881,59,49,76,不安定
2026-01-14T17:06:48.148493,0.5865,0.8848,59,49,76,不安定
2026-01-14T17:06:48.281587,0.6683,0.7886,49,53,62,不安定
2026-01-14T17:06:48.415267,0.685,0.7749,47,54,60,不安定
2026-01-14T17:06:48.548116,0.6935,0.7666,46,54,59,不安定
2026-01-14T17:06:48.678502,0.7073,0.7628,46,54,58,不安定
2026-01-14T17:06:48.810403,0.7123,0.755,45,55,57,不安定
2026-01-14T17:06:48.943547,0.7406,0.7727,45,55,56,不安定
2026-01-14T17:06:49.076683,0.742,0.7621,44,55,56,不安定
2026-01-14T17:06:49.209989,0.7276,0.7436,44,55,56,不安定
2026-01-14T17:06:49.345272,0.6849,0.7438,45,54,58,不安定
2026-01-14T17:06:49.476872,0.7176,0.7239,43,55,55,不安定
2026-01-14T17:06:49.606308,0.7743,0.673,38,58,49,不安定
2026-01-14T17:06:49.662233,0.9566,0.8818,45,59,50,不安定
2026-01-14T17:06:49.738080,0.7264,0.7392,43,55,55,不安定
2026-01-14T17:06:49.807414,0.9457,0.8923,45,58,51,不安定
2026-01-14T17:06:49.869888,0.755,0.68,39,57,50,不安定
2026-01-14T17:06:49.937905,0.9354,0.9468,48,57,54,不安定
2026-01-14T17:06:50.000479,0.7141,0.7045,42,56,54,不安定
2026-01-14T17:06:50.067214,0.9275,0.9744,50,56,55,不安定
2026-01-14T17:06:50.132974,0.6763,0.715,44,54,57,不安定
2026-01-14T17:06:50.200416,0.9184,0.9756,50,56,56,不安定
2026-01-14T17:06:50.265191,0.5983,0.7026,46,53,62,不安定
2026-01-14T17:06:50.330288,0.9055,0.9631,50,56,56,不安定
2026-01-14T17:06:50.393132,0.595,0.6766,45,53,61,不安定
2026-01-14T17:06:50.459547,0.8904,0.9311,49,56,55,不安定
2026-01-14T17:06:50.522438,0.5771,0.8078,55,50,72,不安定
2026-01-14T17:06:50.588540,0.8811,0.8852,47,57,54,不安定
2026-01-14T17:06:50.656092,0.5721,0.8761,60,49,77,不安定
2026-01-14T17:06:50.717407,0.8702,0.8553,45,57,53,不安定
2026-01-14T17:06:50.787428,0.5606,0.9059,63,48,80,不安定
2026-01-14T17:06:50.850383,0.8531,0.819,44,57,52,不安定
2026-01-14T17:06:50.917551,0.5564,0.8833,61,49,79,不安定
2026-01-14T17:06:50.978990,0.8219,0.7545,41,57,51,不安定
2026-01-14T17:06:51.049918,0.614,0.8499,55,51,71,不安定
2026-01-14T17:06:51.106918,0.7776,0.7403,42,57,52,不安定
2026-01-14T17:06:51.181844,0.496,0.85,64,48,85,不安定
2026-01-14T17:06:51.234633,0.7435,0.7706,45,55,56,不安定
2026-01-14T17:06:51.311315,0.3676,0.8461,78,45,100,集中
2026-01-14T17:06:51.433262,0.7095,0.7798,46,54,59,不安定
2026-01-14T17:06:51.440766,0.4228,0.8441,71,46,97,集中
2026-01-14T17:06:51.574534,0.2179,0.7977,100,42,100,集中
2026-01-14T17:06:51.584035,0.6619,0.7702,48,53,62,不安定
2026-01-14T17:06:51.708907,0.1389,0.7805,100,40,100,集中
2026-01-14T17:06:51.713423,0.5987,0.7434,49,52,65,不安定
2026-01-14T17:06:51.845078,0.1467,0.796,100,40,100,集中
2026-01-14T17:06:51.847605,0.5502,0.7122,50,51,68,不安定
2026-01-14T17:06:51.983639,0.4984,0.6706,50,51,70,不安定
2026-01-14T17:06:51.986162,0.1792,0.8494,100,40,100,集中
2026-01-14T17:06:52.119590,0.4631,0.6374,50,50,71,不安定
2026-01-14T17:06:52.123597,0.1666,0.8202,100,40,100,集中
2026-01-14T17:06:52.254475,0.3837,0.5682,51,50,76,不安定
2026-01-14T17:06:52.261357,0.1676,0.8409,100,40,100,集中
2026-01-14T17:06:52.392741,0.3239,0.5318,54,49,83,不安定
2026-01-14T17:06:52.401740,0.1964,0.8978,100,39,100,集中
2026-01-14T17:06:52.527429,0.3304,0.5317,53,49,82,不安定
2026-01-14T17:06:52.532951,0.214,0.9026,100,40,100,集中
2026-01-14T17:06:52.664079,0.3442,0.5471,53,49,81,不安定
2026-01-14T17:06:52.667596,0.2541,0.8786,100,41,100,集中
2026-01-14T17:06:52.793278,0.3202,0.5093,52,49,81,不安定
2026-01-14T17:06:52.798837,0.3739,0.8811,80,44,100,集中
2026-01-14T17:06:52.922138,0.2994,0.497,53,49,84,不安定
2026-01-14T17:06:52.931351,0.3548,0.8704,83,44,100,集中
2026-01-14T17:06:53.062996,0.2964,0.8601,94,43,100,集中
2026-01-14T17:06:53.197375,0.3871,0.8497,76,45,100,集中
2026-01-14T17:06:53.328717,0.8695,0.8858,47,56,54,不安定
2026-01-14T17:06:53.462366,0.9488,0.9278,47,58,52,不安定
2026-01-14T17:06:53.594815,0.8753,0.8461,45,57,52,不安定
2026-01-14T17:06:53.724531,0.8309,0.5237,28,62,39,リラックス
2026-01-14T17:06:53.859688,0.8339,0.4912,27,62,38,リラックス
2026-01-14T17:06:53.993796,0.5436,0.72,51,51,69,不安定
2026-01-14T17:06:54.128949,0.8335,0.6309,34,60,44,リラックス
2026-01-14T17:06:54.261352,0.9945,0.9287,46,59,50,不安定
2026-01-14T17:06:54.403445,0.9874,0.9367,47,59,51,不安定
2026-01-14T17:06:54.536341,0.4098,0.1128,9,58,28,不安定
2026-01-14T17:06:54.669450,0.16,0.1016,18,52,44,不安定
2026-01-14T17:06:54.803973,0.148,0.0904,17,52,43,不安定
2026-01-14T17:06:54.939541,0.1656,0.3059,53,49,92,不安定
2026-01-14T17:06:55.074380,0.1924,0.0902,13,53,37,不安定
2026-01-14T17:06:55.211019,0.5299,0.0721,5,62,21,リラックス
2026-01-14T17:06:55.341899,0.2299,0.0817,10,54,32,不安定
2026-01-14T17:06:55.474660,0.0728,0.144,53,49,98,不安定
2026-01-14T17:06:55.607153,0.1248,0.1492,33,50,66,不安定
2026-01-14T17:06:55.741662,0.4555,0.475,37,53,58,不安定
2026-01-14T17:06:55.880400,0.2748,0.2302,26,53,51,不安定
2026-01-14T17:06:56.014519,0.1144,0.042,10,52,33,不安定
2026-01-14T17:06:56.149041,0.1414,0.0537,10,52,34,不安定
2026-01-14T17:06:56.281330,0.1187,0.0761,17,51,44,不安定
2026-01-14T17:06:56.418414,0.1372,0.1021,21,51,48,不安定
2026-01-14T17:06:56.551348,0.2269,0.1835,24,52,50,不安定
2026-01-14T17:06:56.681926,0.4128,0.3873,33,53,54,不安定
2026-01-14T17:06:56.816094,0.1089,0.0827,21,51,49,不安定
2026-01-14T17:06:56.952130,0.099,0.0988,27,50,59,不安定
2026-01-14T17:06:57.089410,0.1069,0.0911,23,51,53,不安定
2026-01-14T17:06:57.223656,0.189,0.1079,16,52,41,不安定
2026-01-14T17:06:57.356913,0.1638,0.1131,20,52,46,不安定
2026-01-14T17:06:57.493642,0.1586,0.1284,23,51,51,不安定
2026-01-14T17:06:57.628427,0.2786,0.1308,15,54,36,不安定
2026-01-14T17:06:57.758445,0.5899,0.1782,12,61,28,リラックス
2026-01-14T17:06:57.894486,0.4703,0.1826,14,58,32,不安定
2026-01-14T17:06:58.027873,0.3788,0.2786,25,54,46,不安定
